data,titolo,autore,autore_json,citazione,commento,youtube,spotify
2026-10-29,,,,, 29 ottobre — nascita di Rino Gaetano (1950),,
2026-11-02,Una storia sbagliata,Fabrizio De André,fabrizio_deandre,,2 novembre — anniversario della morte di Pier Paolo Pasolini,https://www.youtube.com/watch?v=hvUOSDbVUUE,https://open.spotify.com/track/6Y1eGg0Mtn5celKbZCHtkS
2026-11-02,A Pa',Francesco De Gregori,francesco_degregori,,2 novembre — anniversario della morte di Pier Paolo Pasolini,https://www.youtube.com/watch?v=RpzPoExVzio,https://open.spotify.com/track/6QHZ3XTkDAstpP6AV6kPZm
2026-11-05,,,,, 5 novembre — nascita di Pierangelo Bertoli (1942),,
2026-12-03,Il 3 Dicembre del '39,Francesco Guccini,francesco_guccini,,,https://www.youtube.com/watch?v=sm5PUO_IkPQ,https://open.spotify.com/track/4KgbuRi4X56evvqanSOnwF
2026-12-12,Viva l'Italia,Francesco De Gregori,francesco_degregori,"Viva l'Italia, l'Italia del 12 dicembre, l'Italia con le bandiere, l'Italia nuda come sempre","Il 12 dicembre 1969, alle ore 16:30, una bomba esplode nella sede della Banca Nazionale dell'Agricoltura in piazza Fontana a Milano: 17 morti e 88 feriti. È l'atto che inaugura la cosiddetta strategia della tensione e apre il lungo capitolo degli anni di piombo.",https://www.youtube.com/watch?v=kMx2YGkKUqQ,https://open.spotify.com/track/6aQVKyPa0mUm6GLmey6x4P
2026-12-13,Santa Lucia,Francesco De Gregori,francesco_degregori,,13 dicembre — Santa Lucia,https://www.youtube.com/watch?v=3cDcNlmiTdw,https://open.spotify.com/track/56A7YbF5HU4f2WPHSKfmcc
2026-12-21,Inverno,Fabrizio De André,fabrizio_deandre,,21 dicembre — solstizio d'inverno,https://www.youtube.com/watch?v=EOfAsv_zwl4,https://open.spotify.com/track/7bnnu8bfcHxRh1WC0FMXjX
2026-12-21,Inverno,Franco Battiato,franco_battiato,,21 dicembre — solstizio d'inverno,https://www.youtube.com/watch?v=ll7e9aGibLM,https://open.spotify.com/track/1uVoheW0RTfZBsopq5xzBq
2026-12-23,Natale,Francesco De Gregori,francesco_degregori,,23 dicembre,https://www.youtube.com/watch?v=OqwcV82VqUY,https://open.spotify.com/track/4xM4ctOb3WswWUQzutFh1P
2026-12-25,Incontro,Francesco Guccini,francesco_guccini,Come in un libro scritto male lui s'era ucciso per Natale,25 dicembre — Natale,https://www.youtube.com/watch?v=MLXvSdTV0R0,https://open.spotify.com/track/76CWFuapQCGVNJPRj0v6ov
2026-12-25,Eskimo,Francesco Guccini,francesco_guccini,,25 dicembre — Natale,https://www.youtube.com/watch?v=TMV_g3SKteg,https://open.spotify.com/track/2fA04j5MGP7oxFdLuMuQJd
prima-domenica-settembre,Eskimo,Francesco Guccini,francesco_guccini,,Prima domenica di settembre,https://www.youtube.com/watch?v=TMV_g3SKteg,https://open.spotify.com/track/2fA04j5MGP7oxFdLuMuQJd
